attendance_pct,study_hrs,syllabus_understood,seat_position,screen_time_hrs,ott_hrs_per_week,exam_prep_timing,travel_time_hrs,sleep_hrs,panic_level,midterm_pct,endsem_pct
56.0,3,2,2,2.0,0.0,1,2,6,4,70.0,70.0
77.0,2,2,1,6.0,0.0,3,0,8,1,70.0,78.0
78.07,1,1,1,7.5,2.0,1,0,7,1,57.0,70.0
86.0,2,3,2,3.0,2.0,3,3,5,1,65.0,70.0
80.0,6,2,2,2.0,0.0,4,0,10,1,70.0,75.0
75.0,5,4,2,4.0,0.0,4,1,4,5,65.0,77.0
90.33,1,3,1,5.0,2.0,2,1,6,5,60.0,65.0
80.0,3,2,1,9.0,4.0,1,0,8,3,85.0,80.6
73.8,2,3,2,5.0,2.0,3,0,6,1,85.0,95.0
77.0,4,2,1,9.0,2.0,2,4,6,3,80.0,80.0
78.0,1,2,1,12.0,4.0,2,0,4,1,90.0,91.0
85.0,2,4,2,2.0,2.0,3,0,7,3,84.0,85.0
80.0,4,2,2,3.0,0.0,4,0,7,1,67.0,67.0
55.0,1,2,1,4.0,2.0,2,1,7,1,62.0,65.0
72.19,2,2,2,2.0,2.0,3,0,5,3,70.0,65.0
80.0,1,4,2,3.0,0.0,2,0,7,1,89.0,90.0
87.0,3,1,2,3.0,0.0,2,0,6,4,81.0,75.0
72.8,2,2,2,4.0,0.0,1,4,2,1,60.0,60.0
75.94,2,4,1,5.5,0.0,4,0,6,3,67.0,68.0
72.0,4,1,2,5.0,0.0,1,0,7,2,80.0,82.0
78.0,3,4,2,3.0,0.0,3,1,6,4,85.0,84.0
85.0,2,2,1,4.0,2.0,3,2,6,2,65.0,65.0
85.0,2,4,3,4.5,0.0,1,1,6,5,71.0,81.0
86.0,2,2,3,5.5,2.0,3,2,8,4,75.0,75.0
90.0,4,5,3,1.0,0.0,1,2,6,5,85.5,81.0
94.0,2,2,3,5.0,0.0,2,0,7,3,72.5,75.0
77.0,2,2,1,6.0,0.0,1,0,5,4,83.0,80.0
73.0,2,3,1,7.0,2.0,1,0,5,3,72.5,72.5
86.0,2,5,3,1.0,0.0,1,5,6,5,76.0,80.0
85.0,4,4,2,2.0,0.0,3,1,6,3,85.0,79.0
73.0,1,2,1,12.0,4.0,1,0,3,1,80.0,78.0
85.0,2,2,2,5.0,2.0,3,2,5,4,60.0,72.0
85.87,4,3,2,2.0,0.0,3,0,5,4,82.66,67.0
94.05,1,5,3,3.0,2.0,3,0,6,2,75.0,81.5
75.0,2,4,2,3.0,0.0,1,1,6,2,69.0,70.0
75.0,4,2,1,8.0,0.0,2,2,6,1,70.0,40.0
89.0,5,5,3,1.0,2.0,3,0,6,3,90.0,86.0
73.0,2,3,1,5.0,2.0,3,0,7,3,78.0,75.0
80.0,3,4,2,5.0,2.0,3,1,7,3,79.0,84.0
96.42,5,4,3,3.0,0.0,4,0,5,2,87.33,83.0
86.34,2,5,2,3.5,0.0,3,0,7,1,82.0,80.25
74.0,1,3,2,8.0,0.0,3,2,6,2,68.0,75.0
76.0,3,3,2,5.0,0.0,3,0,7,3,81.0,76.0
74.0,0,3,2,6.0,4.0,2,2,6,3,78.0,68.0
75.0,2,3,1,6.0,0.0,2,1,7,1,70.0,72.0
88.0,2,3,1,4.0,2.0,1,0,6,1,84.5,80.0
85.0,2,3,3,3.0,0.0,1,0,8,1,63.0,70.0
76.0,3,4,2,1.75,4.0,1,0,7,1,82.0,80.0
75.0,2,4,2,4.0,2.0,2,1,8,1,65.0,75.0
77.25,0,3,3,4.0,0.0,1,2,8,4,78.0,75.0
73.0,2,3,2,6.0,2.0,2,2,5,1,60.0,70.0
85.0,2,4,3,5.0,0.0,3,0,7,2,78.5,75.0
76.0,3,4,2,3.0,0.0,3,1,8,4,70.0,75.0
82.0,2,5,3,3.0,0.0,3,0,7,3,76.0,78.0
80.0,1,1,2,8.0,2.0,1,1,5,3,61.0,64.0
78.0,3,4,2,2.5,0.0,3,1,6,5,69.0,78.0
90.0,6,5,3,2.0,0.0,3,0,8,3,87.0,90.0
85.0,3,4,2,4.0,4.0,3,1,7,2,84.0,82.0
85.0,1,3,2,3.0,2.0,3,0,7,5,89.5,85.0
83.0,2,3,2,2.0,2.0,3,0,8,2,75.0,70.0
85.0,2,4,3,6.0,2.0,2,0,6,1,93.5,88.0
76.0,2,3,2,7.0,2.0,1,2,5,3,65.0,70.0
85.0,2,3,3,3.0,2.0,3,0,8,3,80.0,85.0
75.0,3,4,2,5.0,4.0,2,1,6,3,75.0,80.0
74.0,2,3,1,5.0,2.0,3,2,6,2,60.0,50.0
73.48,3,1,1,6.0,4.0,3,0,5,1,76.0,65.0
75.8,1,2,2,5.0,2.0,2,1,7,3,69.0,70.0
81.0,4,4,2,3.0,0.0,3,1,7,3,75.0,72.0
93.09,0,0,1,7.2,0.0,1,0,5,5,52.5,40.4
75.0,3,2,3,4.0,2.0,1,0,6,1,70.0,74.7
82.0,1,4,2,7.0,0.0,1,0,6,1,80.0,80.0
78.0,3,3,1,1.0,0.0,1,1,7,1,88.0,87.0
82.0,2,3,2,8.0,0.0,1,0,6,5,70.0,60.0
89.8,3,4,2,6.0,2.0,2,0,6,4,82.0,84.0
76.0,1,4,3,2.5,2.0,4,1,7,2,86.0,82.0
91.0,2,3,2,4.0,0.0,2,2,5,3,85.0,79.9
73.0,2,3,2,2.0,0.0,3,1,9,4,75.0,72.0
76.0,0,0,1,5.0,0.0,2,3,6,5,60.0,66.0
77.78,1,2,2,5.0,0.0,3,0,6,4,68.0,75.0
82.0,3,4,2,5.0,4.0,3,1,6,4,80.0,80.0
78.0,2,4,2,3.0,2.0,3,1,5,5,65.0,65.0
85.0,4,4,2,2.0,0.0,3,1,7,1,77.5,85.0
80.68,1,3,2,4.0,4.0,1,0,7,1,75.0,75.0
80.0,1,4,2,3.0,2.0,2,2,7,4,80.0,82.0
93.37,3,5,3,3.0,2.0,3,3,6,3,86.0,82.0
80.5,2,4,2,3.0,2.0,3,0,5,4,79.0,82.0
87.56,4,4,2,3.0,2.0,4,3,7,2,84.0,73.45
80.0,4,4,1,8.0,0.0,2,1,7,2,81.0,80.0
78.72,5,3,3,7.0,0.0,3,0,7,5,70.0,75.0
80.65,5,3,3,4.0,0.0,3,0,7,4,75.0,80.0
100.0,0,0,3,7.5,0.0,1,1,6,1,55.0,67.0
85.0,0,1,2,10.0,4.0,1,2,6,5,94.4,90.5
75.0,1,0,2,4.5,0.0,3,5,7,3,79.0,72.0
85.0,0,1,2,8.0,8.0,1,0,5,1,65.0,68.0
96.0,3,2,3,7.5,2.0,4,0,6,5,89.0,90.0
81.77,2,4,2,4.0,2.0,3,1,6,4,75.0,70.0
75.0,2,1,3,4.0,4.0,3,0,7,3,50.0,60.0
71.0,2,0,2,8.0,4.0,3,1,4,3,80.0,80.0
80.43,2,3,3,3.0,0.0,2,2,7,3,72.0,80.0
76.0,5,4,2,3.0,4.0,2,0,7,3,60.0,55.0
78.0,3,2,2,4.0,2.0,3,0,5,5,70.5,70.0
90.0,3,2,1,4.0,0.0,2,1,9,1,85.0,82.0
74.37,2,3,3,5.0,2.0,3,2,6,4,67.0,70.0
83.0,3,4,2,2.0,0.0,4,0,6,4,77.0,75.0
89.0,3,1,3,5.0,0.0,3,1,6,3,92.0,87.25
80.0,3,3,3,4.0,0.0,1,1,7,3,61.5,66.5
77.0,2,3,2,4.0,0.0,3,0,8,1,70.0,70.0
85.0,3,4,3,5.0,2.0,1,1,7,1,88.0,72.69
74.0,5,4,2,5.5,0.0,3,1,6,2,80.0,75.0
74.0,1,1,1,8.0,0.0,1,3,7,3,60.0,60.0
88.0,1,2,2,4.0,2.0,3,2,6,3,71.0,81.0
82.0,0,3,3,4.0,0.0,1,1,7,4,73.0,78.0
71.0,4,2,2,5.5,2.0,3,0,7,3,72.0,76.0
87.86,2,5,2,2.0,0.0,3,0,8,2,70.0,76.08
50.0,5,3,3,4.0,4.0,3,1,7,2,68.0,57.0
77.0,3,2,2,7.0,4.0,2,0,6,1,79.0,73.0
77.0,0,0,1,8.0,4.0,1,0,6,1,80.0,73.0
75.83,2,3,1,10.0,8.0,1,0,4,1,69.0,72.0
78.0,2,3,1,3.0,0.0,2,3,6,1,74.0,84.0
75.0,4,3,2,3.0,2.0,1,0,6,5,55.0,70.0
79.0,3,4,3,4.0,2.0,3,0,8,2,75.0,85.0
87.0,5,3,1,1.0,0.0,3,4,7,1,60.0,50.0
86.67,5,3,1,1.0,0.0,3,1,7,1,70.0,60.0
78.0,2,2,2,3.0,0.0,1,0,9,1,78.0,76.0
94.44,0,4,2,5.0,4.0,3,1,6,1,80.0,78.0
74.56,2,2,2,3.5,4.0,3,2,6,3,58.0,58.0
74.56,2,2,2,3.5,0.0,3,0,8,2,61.0,61.0
74.75,4,2,2,5.0,4.0,1,1,5,1,84.0,76.0
87.37,2,2,3,5.0,2.0,1,1,5,1,75.0,75.0
80.0,4,4,1,9.0,2.0,3,0,4,3,77.4,78.5
87.0,3,5,3,5.0,0.0,4,3,6,5,88.0,91.0
79.0,3,4,3,2.0,2.0,3,0,6,3,80.0,82.0
80.0,3,1,2,6.0,2.0,1,0,8,1,80.2,63.0
98.51,3,3,2,3.0,0.0,3,0,6,2,86.66,88.0
85.35,2,4,2,4.5,0.0,2,0,7,1,82.0,80.0
82.0,4,4,1,4.0,0.0,1,0,5,2,78.0,71.0
77.0,4,4,1,4.0,0.0,1,0,5,2,83.0,80.0
90.0,4,5,3,5.0,0.0,3,5,6,1,94.0,82.0
80.1,4,4,3,3.0,0.0,3,0,6,3,79.8,74.3
100.0,10,2,1,12.0,8.0,1,0,3,1,80.0,85.0
80.0,5,2,1,6.0,2.0,3,1,4,1,50.0,65.0
75.0,0,3,1,5.5,0.0,1,1,5,1,72.0,69.0
80.0,2,5,3,5.0,4.0,2,1,6,1,89.0,80.0
83.0,2,2,2,6.0,4.0,1,0,6,3,77.0,77.0
80.0,3,3,2,5.0,2.0,1,0,6,3,77.0,78.0
91.0,3,3,2,5.0,4.0,3,0,8,3,92.0,86.0
80.0,6,4,3,2.0,0.0,4,2,6,3,60.0,70.5
82.0,1,2,2,4.0,2.0,2,0,8,3,75.0,75.0
85.0,6,2,1,7.0,0.0,1,2,5,1,70.0,75.0
75.0,4,2,2,8.0,8.0,4,0,4,4,86.0,80.0
67.0,1,1,1,5.0,8.0,3,1,8,1,80.0,75.0
73.0,3,2,3,4.0,2.0,3,0,4,2,78.0,77.0
72.0,2,3,2,5.0,2.0,2,1,7,4,70.0,78.0
78.6,0,1,1,11.0,8.0,1,1,10,1,75.0,70.0
88.0,5,5,3,2.0,2.0,4,4,7,3,76.5,80.66
80.0,3,2,3,2.0,0.0,4,0,8,4,83.0,75.0
80.47,2,4,3,1.0,0.0,3,2,7,3,72.0,75.0
88.0,0,3,1,8.0,0.0,2,1,8,1,65.0,68.0
71.0,2,2,1,7.0,0.0,1,0,10,1,70.0,69.0
88.73,8,4,2,3.0,0.0,2,5,7,1,85.5,87.0
74.88,2,2,2,5.5,0.0,2,0,5,3,83.5,77.0
72.0,4,2,1,4.0,2.0,3,0,6,2,65.0,73.0
84.21,4,4,2,4.0,0.0,3,0,7,4,79.0,76.5
90.0,4,3,3,4.0,2.0,3,1,7,5,73.0,70.0
74.16,3,3,2,3.0,2.0,3,1,5,3,66.25,71.33
89.0,3,4,2,6.0,2.0,3,0,6,4,90.0,91.0
77.0,1,3,1,4.0,4.0,3,0,6,1,72.0,70.0
